movie_id,platform,age_0+,age_13+,age_16+,age_18+,age_7+,age_unknown,availability_multi_platform,availability_single_platform
358,Netflix,0,0,0,1,0,0,0,1
359,Netflix,1,0,0,0,0,0,0,1
360,Netflix,0,0,0,1,0,0,1,0
361,Netflix,0,0,0,1,0,0,0,1
362,Netflix,0,1,0,0,0,0,0,1
363,Netflix,0,0,0,1,0,0,0,1
364,Netflix,0,0,0,1,0,0,0,1
365,Netflix,0,0,0,0,1,0,0,1
366,Netflix,0,0,0,1,0,0,0,1
367,Netflix,0,1,0,0,0,0,0,1
368,Netflix,0,0,0,0,0,1,0,1
369,Netflix,0,0,0,1,0,0,0,1
370,Netflix,0,0,1,0,0,0,0,1
371,Netflix,1,0,0,0,0,0,0,1
372,Netflix,0,0,0,0,1,0,0,1
373,Netflix,0,0,0,1,0,0,1,0
374,Netflix,0,0,0,1,0,0,0,1
375,Netflix,0,0,0,0,1,0,0,1
376,Netflix,0,0,0,0,0,1,0,1
377,Netflix,0,0,0,0,1,0,0,1
378,Netflix,0,0,0,1,0,0,0,1
379,Netflix,0,0,0,0,0,1,0,1
380,Netflix,0,0,0,0,1,0,0,1
381,Netflix,0,1,0,0,0,0,1,0
382,Netflix,0,1,0,0,0,0,0,1
383,Netflix,0,0,0,1,0,0,0,1
384,Netflix,0,0,0,0,1,0,0,1
385,Netflix,0,0,0,0,0,1,0,1
386,Netflix,0,0,0,1,0,0,0,1
387,Netflix,0,0,0,0,1,0,0,1
388,Netflix,0,0,0,1,0,0,0,1
389,Netflix,0,0,0,1,0,0,0,1
390,Netflix,0,0,0,1,0,0,1,0
391,Netflix,0,1,0,0,0,0,0,1
392,Netflix,0,0,0,0,0,1,0,1
393,Netflix,0,0,0,1,0,0,0,1
394,Netflix,0,0,0,1,0,0,0,1
395,Netflix,0,0,0,1,0,0,0,1
396,Netflix,0,0,0,1,0,0,0,1
397,Netflix,0,0,0,0,0,1,0,1
398,Netflix,0,0,0,0,0,1,0,1
399,Netflix,0,0,0,0,0,1,0,1
400,Netflix,0,1,0,0,0,0,0,1
401,Netflix,0,0,0,1,0,0,1,0
402,Netflix,0,1,0,0,0,0,0,1
403,Netflix,0,0,0,1,0,0,0,1
404,Netflix,0,0,0,0,0,1,0,1
405,Netflix,0,0,0,1,0,0,0,1
406,Netflix,0,0,0,1,0,0,0,1
407,Netflix,0,0,0,0,1,0,0,1
408,Netflix,0,0,0,1,0,0,1,0
409,Netflix,0,0,0,1,0,0,0,1
410,Netflix,0,0,0,1,0,0,0,1
411,Netflix,0,0,0,1,0,0,1,0
412,Netflix,0,0,0,0,0,1,0,1
413,Netflix,0,1,0,0,0,0,1,0
414,Netflix,0,0,0,0,1,0,0,1
415,Netflix,0,1,0,0,0,0,0,1
416,Netflix,0,0,0,0,1,0,1,0
417,Netflix,0,0,0,1,0,0,0,1
418,Netflix,0,0,0,1,0,0,0,1
419,Netflix,0,0,0,1,0,0,0,1
420,Netflix,0,1,0,0,0,0,0,1
421,Netflix,0,1,0,0,0,0,0,1
422,Netflix,0,0,1,0,0,0,0,1
423,Netflix,0,0,0,0,0,1,0,1
424,Netflix,0,0,0,0,0,1,0,1
425,Netflix,0,1,0,0,0,0,0,1
426,Netflix,0,0,0,1,0,0,0,1
427,Netflix,0,0,0,1,0,0,0,1
428,Netflix,1,0,0,0,0,0,0,1
429,Netflix,0,0,0,0,0,1,0,1
430,Netflix,0,0,0,1,0,0,0,1
431,Netflix,0,0,0,0,0,1,0,1
432,Netflix,0,0,1,0,0,0,0,1
433,Netflix,0,1,0,0,0,0,0,1
434,Netflix,0,0,0,0,1,0,0,1
435,Netflix,0,0,0,1,0,0,0,1
436,Netflix,0,0,0,0,1,0,0,1
437,Netflix,0,0,0,0,1,0,0,1
438,Netflix,0,1,0,0,0,0,0,1
439,Netflix,0,0,0,1,0,0,0,1
440,Netflix,0,0,0,1,0,0,0,1
441,Netflix,0,0,0,1,0,0,0,1
442,Netflix,0,1,0,0,0,0,0,1
443,Netflix,0,1,0,0,0,0,0,1
444,Netflix,0,0,0,0,1,0,0,1
445,Netflix,0,0,0,1,0,0,0,1
446,Netflix,0,0,0,1,0,0,0,1
447,Netflix,0,0,0,1,0,0,0,1
448,Netflix,0,0,0,0,1,0,1,0
449,Netflix,0,0,0,1,0,0,0,1
450,Netflix,0,0,0,1,0,0,0,1
451,Netflix,0,0,0,1,0,0,0,1
452,Netflix,0,1,0,0,0,0,0,1
453,Netflix,0,1,0,0,0,0,0,1
454,Netflix,0,0,1,0,0,0,0,1
455,Netflix,0,0,0,1,0,0,0,1
456,Netflix,0,0,0,1,0,0,0,1
457,Netflix,0,0,0,0,1,0,1,0
458,Netflix,0,1,0,0,0,0,0,1
459,Netflix,0,0,0,0,1,0,0,1
460,Netflix,0,0,0,0,0,1,0,1
461,Netflix,0,1,0,0,0,0,0,1
462,Netflix,0,0,0,0,1,0,0,1
463,Netflix,0,0,0,1,0,0,0,1
464,Netflix,0,1,0,0,0,0,0,1
465,Netflix,0,0,0,1,0,0,0,1
466,Netflix,0,1,0,0,0,0,0,1
467,Netflix,0,0,0,1,0,0,0,1
468,Netflix,0,0,0,1,0,0,0,1
469,Netflix,0,0,0,0,0,1,1,0
470,Netflix,0,0,0,1,0,0,0,1
471,Netflix,0,0,0,1,0,0,0,1
472,Netflix,0,1,0,0,0,0,0,1
473,Netflix,0,1,0,0,0,0,0,1
474,Netflix,0,0,0,1,0,0,1,0
475,Netflix,0,1,0,0,0,0,0,1
476,Netflix,0,0,0,1,0,0,0,1
477,Netflix,0,0,0,1,0,0,0,1
478,Netflix,0,0,0,0,1,0,0,1
479,Netflix,0,0,0,1,0,0,0,1
480,Netflix,0,1,0,0,0,0,0,1
481,Netflix,0,1,0,0,0,0,0,1
482,Netflix,0,0,0,1,0,0,0,1
483,Netflix,0,0,0,1,0,0,0,1
484,Netflix,0,0,0,0,0,1,0,1
485,Netflix,0,1,0,0,0,0,0,1
486,Netflix,0,0,0,0,1,0,0,1
487,Netflix,0,0,1,0,0,0,0,1
488,Netflix,0,0,0,1,0,0,0,1
489,Netflix,0,0,0,0,0,1,1,0
490,Netflix,0,0,0,1,0,0,0,1
491,Netflix,0,0,0,0,1,0,0,1
492,Netflix,0,1,0,0,0,0,0,1
493,Netflix,0,1,0,0,0,0,0,1
494,Netflix,0,1,0,0,0,0,0,1
495,Netflix,0,0,0,1,0,0,0,1
496,Netflix,0,0,0,0,0,1,0,1
497,Netflix,0,0,0,1,0,0,0,1
498,Netflix,0,1,0,0,0,0,0,1
499,Netflix,0,0,0,0,0,1,0,1
500,Netflix,0,0,0,0,0,1,0,1
501,Netflix,0,0,0,1,0,0,0,1
502,Netflix,0,0,0,1,0,0,1,0
503,Netflix,0,1,0,0,0,0,0,1
504,Netflix,0,0,0,1,0,0,1,0
505,Netflix,0,0,0,1,0,0,0,1
506,Netflix,0,0,0,0,1,0,0,1
507,Netflix,0,1,0,0,0,0,0,1
508,Netflix,0,0,0,1,0,0,0,1
509,Netflix,0,0,0,0,1,0,0,1
510,Netflix,0,0,0,0,1,0,0,1
511,Netflix,0,0,0,0,1,0,0,1
512,Netflix,0,0,0,0,0,1,0,1
513,Netflix,0,0,0,1,0,0,0,1
514,Netflix,0,0,0,1,0,0,0,1
515,Netflix,0,0,0,1,0,0,0,1
516,Netflix,1,0,0,0,0,0,0,1
517,Netflix,0,0,0,0,0,1,0,1
518,Netflix,0,0,0,0,0,1,0,1
519,Netflix,0,1,0,0,0,0,0,1
520,Netflix,0,0,0,1,0,0,0,1
521,Netflix,0,0,0,1,0,0,0,1
522,Netflix,0,0,0,0,1,0,0,1
523,Netflix,0,0,0,0,0,1,0,1
524,Netflix,0,0,0,1,0,0,0,1
525,Netflix,0,1,0,0,0,0,0,1
526,Netflix,0,1,0,0,0,0,0,1
527,Netflix,0,0,0,1,0,0,0,1
528,Netflix,0,1,0,0,0,0,0,1
529,Netflix,0,1,0,0,0,0,1,0
530,Netflix,0,0,0,1,0,0,0,1
531,Netflix,0,0,0,1,0,0,0,1
532,Netflix,0,0,0,1,0,0,0,1
533,Netflix,0,0,0,0,0,1,0,1
534,Netflix,1,0,0,0,0,0,0,1
535,Netflix,0,0,0,0,1,0,1,0
536,Netflix,0,0,0,0,1,0,0,1
537,Netflix,0,1,0,0,0,0,1,0
538,Netflix,0,0,0,0,1,0,0,1
539,Netflix,0,0,0,1,0,0,0,1
540,Netflix,0,0,0,1,0,0,0,1
541,Netflix,0,1,0,0,0,0,1,0
542,Netflix,0,1,0,0,0,0,0,1
543,Netflix,0,0,0,0,0,1,0,1
544,Netflix,0,1,0,0,0,0,1,0
545,Netflix,0,0,0,0,0,1,0,1
546,Netflix,0,0,0,0,1,0,0,1
547,Netflix,0,0,0,0,0,1,0,1
548,Netflix,0,1,0,0,0,0,0,1
549,Netflix,0,1,0,0,0,0,0,1
550,Netflix,0,1,0,0,0,0,0,1
551,Netflix,0,1,0,0,0,0,0,1
552,Netflix,0,0,0,1,0,0,0,1
553,Netflix,0,1,0,0,0,0,0,1
554,Netflix,0,0,0,0,1,0,0,1
555,Netflix,0,0,1,0,0,0,0,1
556,Netflix,0,0,1,0,0,0,0,1
557,Netflix,0,1,0,0,0,0,0,1
558,Netflix,0,0,1,0,0,0,0,1
559,Netflix,0,0,1,0,0,0,1,0
560,Netflix,0,1,0,0,0,0,0,1
561,Netflix,0,0,0,1,0,0,0,1
562,Netflix,0,0,0,0,0,1,0,1
563,Netflix,0,0,0,1,0,0,0,1
564,Netflix,0,0,0,0,0,1,0,1
565,Netflix,0,0,0,1,0,0,0,1
566,Netflix,0,0,1,0,0,0,0,1
567,Netflix,0,0,0,1,0,0,1,0
568,Netflix,0,0,0,1,0,0,0,1
569,Netflix,0,0,0,0,0,1,0,1
570,Netflix,0,0,0,1,0,0,0,1
571,Netflix,0,0,0,0,1,0,0,1
572,Netflix,0,1,0,0,0,0,0,1
573,Netflix,0,0,0,0,0,1,0,1
574,Netflix,0,0,0,0,0,1,0,1
575,Netflix,0,0,0,1,0,0,0,1
576,Netflix,0,0,0,1,0,0,0,1
577,Netflix,0,1,0,0,0,0,0,1
578,Netflix,0,0,0,1,0,0,0,1
579,Netflix,0,1,0,0,0,0,0,1
580,Netflix,0,0,0,1,0,0,0,1
581,Netflix,0,0,0,0,1,0,0,1
582,Netflix,0,1,0,0,0,0,0,1
583,Netflix,0,1,0,0,0,0,1,0
584,Netflix,0,1,0,0,0,0,0,1
585,Netflix,0,0,0,1,0,0,1,0
586,Netflix,0,0,0,1,0,0,0,1
587,Netflix,0,1,0,0,0,0,0,1
588,Netflix,0,0,0,0,0,1,0,1
589,Netflix,0,0,0,0,0,1,0,1
590,Netflix,0,1,0,0,0,0,0,1
591,Netflix,0,1,0,0,0,0,0,1
592,Netflix,0,0,0,1,0,0,0,1
593,Netflix,0,0,0,0,0,1,0,1
594,Netflix,0,0,0,1,0,0,0,1
595,Netflix,0,0,0,0,0,1,0,1
596,Netflix,0,0,0,0,1,0,0,1
597,Netflix,0,0,1,0,0,0,0,1
598,Netflix,0,0,0,1,0,0,0,1
